payment_type,created_at,claim_amount
payment_type_debit,1/15/2022,14.00
payment_type_debit,1/8/2022,15.00
payment_type_debit,1/27/2022,2.00
payment_type_debit,1/12/2022,2.00
payment_type_debit,1/31/2022,1.00
payment_type_debit,1/12/2022,2.00
payment_type_debit,1/20/2022,25.00
payment_type_debit,1/12/2022,7.00
payment_type_debit,1/23/2022,12.00
payment_type_debit,1/17/2022,6.00
payment_type_debit,1/28/2022,29.00
payment_type_debit,1/2/2022,26.00
payment_type_debit,1/14/2022,1.00
payment_type_debit,1/3/2022,14.00
payment_type_debit,1/9/2022,18.00
payment_type_wire,1/23/2022,4.00
payment_type_wire,1/3/2022,25.00
payment_type_wire,1/9/2022,24.00
payment_type_wire,1/31/2022,9.00
payment_type_wire,1/25/2022,11.00
payment_type_wire,1/21/2022,28.00
payment_type_wire,1/16/2022,30.00
payment_type_wire,1/31/2022,7.00
payment_type_wire,1/11/2022,29.00
payment_type_wire,1/27/2022,28.00
payment_type_wire,1/12/2022,17.00
payment_type_wire,1/15/2022,20.00
payment_type_wire,1/12/2022,6.00
payment_type_wire,1/31/2022,11.00
payment_type_wire,1/9/2022,3.00
payment_type_wire,1/15/2022,17.00
payment_type_wire,1/14/2022,8.00
